0.42	-2e-05	120	-0.02	
0.6312	-5.52e-05	91.2	-0.0352	
0.796965	-8.39795e-05	74.5651	-0.0487795	
0.934975	-0.000110285	63.4452	-0.061505	
1.05382	-0.000135206	55.3946	-0.0737006	
1.15847	-0.000159236	49.2575	-0.0855354	
1.25213	-0.000182644	44.4049	-0.0971088	
1.337	-0.000205593	40.4613	-0.108485	
1.41464	-0.00022819	37.187	-0.119706	
1.48625	-0.000250508	34.4213	-0.130803	
1.55273	-0.000272601	32.0516	-0.141798	
1.61477	-0.000294506	29.997	-0.152708	
1.67297	-0.000316254	28.1973	-0.163546	
1.72777	-0.000337869	26.6071	-0.174323	
1.77957	-0.00035937	25.1912	-0.185046	
1.82868	-0.00038077	23.922	-0.195723	
1.87538	-0.000402082	22.7774	-0.206359	
1.9199	-0.000423316	21.7398	-0.216958	
1.96243	-0.000444482	20.7945	-0.227524	
2.00316	-0.000465585	19.9296	-0.238061	
2.04222	-0.000486632	19.1352	-0.248571	
2.07976	-0.000507629	18.4028	-0.259058	
2.11589	-0.00052858	17.7254	-0.269522	
2.15071	-0.000549488	17.097	-0.279966	
2.18432	-0.000570358	16.5123	-0.290392	
2.2168	-0.000591192	15.9669	-0.3008	
2.24822	-0.000611993	15.4569	-0.311193	
2.27866	-0.000632763	14.979	-0.321571	
2.30817	-0.000653505	14.5301	-0.331935	
2.33681	-0.000674221	14.1078	-0.342286	
2.36462	-0.000694912	13.7096	-0.352626	
2.39167	-0.000715579	13.3336	-0.362954	
2.41798	-0.000736225	12.9779	-0.373271	
2.4436	-0.00075685	12.6409	-0.383579	
2.46856	-0.000777455	12.3211	-0.393877	
2.4929	-0.000798042	12.0174	-0.404166	
2.51664	-0.000818612	11.7284	-0.414446	
2.53983	-0.000839165	11.4531	-0.424719	
2.56247	-0.000859702	11.1906	-0.434983	
2.5846	-0.000880224	10.9399	-0.44524	
2.60624	-0.000900731	10.7004	-0.455491	
2.62741	-0.000921225	10.4711	-0.465734	
2.64813	-0.000941705	10.2516	-0.475971	
2.66843	-0.000962172	10.0412	-0.486201	
2.68831	-0.000982627	9.83933	-0.496426	
2.70779	-0.00100307	9.64546	-0.506644	
2.7269	-0.0010235	9.45914	-0.516857	
2.74564	-0.00104392	9.27992	-0.527065	
2.76402	-0.00106433	9.10741	-0.537267	
2.78207	-0.00108473	8.94123	-0.547463	
2.79979	-0.00110512	8.78104	-0.557655	
2.8172	-0.0011255	8.62652	-0.567842	
2.83431	-0.00114587	8.47736	-0.578023	
2.85112	-0.00116622	8.3333	-0.5882	
2.86764	-0.00118657	8.19406	-0.598373	
2.8839	-0.00120691	8.05942	-0.60854	
2.89989	-0.00122724	7.92914	-0.618704	
2.91562	-0.00124757	7.80302	-0.628862	
2.9311	-0.00126788	7.68085	-0.639016	
2.94635	-0.00128818	7.56245	-0.649166	
2.96136	-0.00130848	7.44765	-0.659311	
2.97614	-0.00132876	7.33628	-0.669452	
2.9907	-0.00134904	7.22819	-0.679589	
3.00505	-0.00136931	7.12324	-0.689721	
3.0192	-0.00138957	7.02128	-0.699849	
3.03314	-0.00140982	6.92219	-0.709973	
3.04689	-0.00143006	6.82586	-0.720092	
3.06045	-0.0014503	6.73216	-0.730207	
3.07382	-0.00147052	6.64098	-0.740318	
3.08702	-0.00149074	6.55223	-0.750424	
3.10003	-0.00151095	6.4658	-0.760526	
3.11288	-0.00153115	6.38161	-0.770623	
3.12556	-0.00155134	6.29957	-0.780716	
3.13808	-0.00157152	6.2196	-0.790804	
3.15044	-0.00159169	6.14161	-0.800888	
3.16265	-0.00161186	6.06553	-0.810967	
3.17471	-0.00163201	5.99129	-0.821042	
3.18662	-0.00165215	5.91883	-0.831112	
3.19838	-0.00167229	5.84808	-0.841177	
3.21001	-0.00169241	5.77897	-0.851237	
3.2215	-0.00171253	5.71146	-0.861292	
3.23286	-0.00173263	5.64548	-0.871343	
3.24408	-0.00175273	5.58098	-0.881388	
3.25518	-0.00177282	5.51792	-0.891428	
3.26616	-0.00179289	5.45623	-0.901463	
3.27701	-0.00181295	5.39588	-0.911492	
3.28774	-0.00183301	5.33683	-0.921516	
3.29836	-0.00185305	5.27902	-0.931535	
3.30886	-0.00187308	5.22242	-0.941548	
3.31925	-0.0018931	5.167	-0.951555	
3.32953	-0.00191311	5.1127	-0.961556	
3.3397	-0.00193311	5.05951	-0.971551	
3.34977	-0.00195309	5.00738	-0.981541	
3.35973	-0.00197306	4.95627	-0.991524	
3.36959	-0.00199302	4.90617	-1.0015	
3.37936	-0.00201297	4.85704	-1.01147	
3.38902	-0.00203291	4.80884	-1.02143	
3.39859	-0.00205283	4.76156	-1.03139	
3.40807	-0.00207273	4.71516	-1.04134	
3.41745	-0.00209263	4.66963	-1.05128	
3.42675	-0.00211251	4.62492	-1.06122	
3.43595	-0.00213237	4.58103	-1.07115	
3.44507	-0.00215222	4.53793	-1.08107	
3.45411	-0.00217206	4.49559	-1.09098	
3.46306	-0.00219188	4.454	-1.10089	
3.47192	-0.00221168	4.41313	-1.11079	
3.48071	-0.00223147	4.37296	-1.12068	
3.48942	-0.00225124	4.33348	-1.13056	
3.49804	-0.002271	4.29466	-1.14043	
3.5066	-0.00229073	4.2565	-1.1503	
3.51507	-0.00231045	4.21896	-1.16016	
3.52347	-0.00233016	4.18204	-1.17	
3.5318	-0.00234984	4.14572	-1.17984	
3.54006	-0.00236951	4.10998	-1.18967	
3.54824	-0.00238916	4.07481	-1.19949	
3.55636	-0.00240879	4.04019	-1.2093	
3.5644	-0.0024284	4.00612	-1.2191	
